LAO. Theories utility Run: 05/13/2024, 12:04:58
Expanded 404 states
Solution graph has 299 states.
Time taken 0.2523550000000001
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(22,neg_lie)
(39,neg_hon)
(92,neg_lie)
(165,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(1190,neg_lie)
(1541,neg_hon)
(1538,neg_hon)
(1542,neg_hon)
(1540,neg_hon)
(695,neg_hon)
(1185,neg_hon)
(1559,neg_hon)
(1560,neg_hon)
(1186,neg_lie)
(1566,neg_hon)
(1568,neg_hon)
(291,neg_lie)
(700,neg_hon)
(1202,neg_lie)
(1589,neg_hon)
(1586,neg_hon)
(1590,neg_hon)
(1588,neg_hon)
(699,neg_hon)
(1199,neg_lie)
(1608,neg_hon)
(1610,neg_hon)
(166,neg_hon)
(295,neg_hon)
(713,neg_hon)
(1209,neg_hon)
(1625,neg_hon)
(1626,neg_lie)
(1210,neg_hon)
(1631,neg_hon)
(1632,neg_hon)
(296,neg_lie)
(717,neg_hon)
(1223,neg_lie)
(1650,neg_hon)
(1652,neg_hon)
(93,neg_lie)
(170,neg_hon)
(312,neg_lie)
(731,neg_hon)
(1235,neg_lie)
(1673,neg_hon)
(1670,neg_hon)
(1674,neg_hon)
(1672,neg_hon)
(730,neg_hon)
(1232,neg_lie)
(1692,neg_hon)
(1694,neg_hon)
(171,neg_hon)
(316,neg_lie)
(745,neg_hon)
(1244,neg_lie)
(1710,neg_hon)
(1712,neg_hon)
(40,neg_hon)
(97,neg_hon)
(187,neg_hon)
(325,neg_hon)
(756,neg_lie)
(1253,neg_hon)
(1739,neg_lie)
(1740,neg_lie)
(1252,neg_hon)
(1733,neg_hon)
(1734,neg_lie)
(326,neg_hon)
(759,neg_hon)
(1262,neg_hon)
(1751,neg_hon)
(1752,neg_hon)
(98,neg_lie)
(193,neg_hon)
(352,neg_lie)
(772,neg_hon)
(1274,neg_lie)
(1770,neg_hon)
(1772,neg_hon)
(23,neg_lie)
(44,neg_hon)
(114,neg_lie)
(210,neg_hon)
(368,neg_lie)
(786,neg_hon)
(1286,neg_lie)
(1793,neg_hon)
(1790,neg_hon)
(1794,neg_hon)
(1792,neg_hon)
(785,neg_hon)
(1283,neg_lie)
(1812,neg_hon)
(1814,neg_hon)
(211,neg_hon)
(372,neg_lie)
(800,neg_hon)
(1295,neg_lie)
(1830,neg_hon)
(1832,neg_hon)
(45,neg_hon)
(118,neg_lie)
(229,neg_hon)
(388,neg_lie)
(812,neg_hon)
(1304,neg_lie)
(1848,neg_hon)
(1850,neg_hon)
(20,neg_hon)
(27,neg_hon)
(61,neg_hon)
(127,neg_hon)
(243,neg_lie)
(399,neg_hon)
(829,neg_lie)
(1313,neg_hon)
(1877,neg_lie)
(1878,neg_lie)
(1312,neg_hon)
(1871,neg_lie)
(1872,neg_lie)
(400,neg_hon)
(832,neg_lie)
(1323,neg_hon)
(1895,neg_hon)
(1896,neg_lie)
(128,neg_hon)
(247,neg_hon)
(416,neg_hon)
(838,neg_hon)
