LAO. Theories utility Run: 05/13/2024, 11:38:28
Expanded 404 states
Solution graph has 299 states.
Time taken 0.21957899999999997
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(21,neg_lie)
(34,neg_hon)
(91,neg_lie)
(160,neg_hon)
(289,neg_lie)
(692,neg_hon)
(1188,neg_lie)
(1525,neg_hon)
(1522,neg_hon)
(1526,neg_hon)
(1524,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(691,neg_hon)
(1184,neg_hon)
(1551,neg_hon)
(1552,neg_hon)
(1185,neg_lie)
(1560,neg_hon)
(1562,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1201,neg_lie)
(1581,neg_hon)
(1578,neg_hon)
(1582,neg_hon)
(1580,neg_hon)
(695,neg_hon)
(1198,neg_lie)
(1602,neg_hon)
(1604,neg_hon)
(161,neg_hon)
(294,neg_hon)
(709,neg_hon)
(1204,neg_hon)
(1617,neg_hon)
(1618,neg_lie)
(1205,neg_hon)
(1623,neg_hon)
(1624,neg_hon)
(295,neg_lie)
(714,neg_hon)
(1222,neg_lie)
(1644,neg_hon)
(1646,neg_hon)
(92,neg_lie)
(165,neg_hon)
(311,neg_lie)
(727,neg_hon)
(1234,neg_lie)
(1665,neg_hon)
(1662,neg_hon)
(1666,neg_hon)
(1664,neg_hon)
(726,neg_hon)
(1231,neg_lie)
(1686,neg_hon)
(1688,neg_hon)
(166,neg_hon)
(315,neg_lie)
(742,neg_hon)
(1243,neg_lie)
(1704,neg_hon)
(1706,neg_hon)
(35,neg_hon)
(96,neg_hon)
(182,neg_hon)
(319,neg_hon)
(752,neg_lie)
(1249,neg_hon)
(1737,neg_lie)
(1738,neg_lie)
(1248,neg_hon)
(1731,neg_hon)
(1732,neg_lie)
(320,neg_hon)
(755,neg_hon)
(1258,neg_hon)
(1743,neg_hon)
(1744,neg_hon)
(97,neg_lie)
(189,neg_hon)
(351,neg_lie)
(769,neg_hon)
(1273,neg_lie)
(1764,neg_hon)
(1766,neg_hon)
(22,neg_lie)
(39,neg_hon)
(113,neg_lie)
(205,neg_hon)
(367,neg_lie)
(782,neg_hon)
(1285,neg_lie)
(1785,neg_hon)
(1782,neg_hon)
(1786,neg_hon)
(1784,neg_hon)
(781,neg_hon)
(1282,neg_lie)
(1806,neg_hon)
(1808,neg_hon)
(206,neg_hon)
(371,neg_lie)
(797,neg_hon)
(1294,neg_lie)
(1824,neg_hon)
(1826,neg_hon)
(40,neg_hon)
(117,neg_lie)
(225,neg_hon)
(387,neg_lie)
(809,neg_hon)
(1303,neg_lie)
(1842,neg_hon)
(1844,neg_hon)
(20,neg_hon)
(26,neg_hon)
(56,neg_hon)
(121,neg_hon)
(238,neg_lie)
(394,neg_hon)
(828,neg_lie)
(1309,neg_hon)
(1875,neg_lie)
(1876,neg_lie)
(1308,neg_hon)
(1869,neg_lie)
(1870,neg_lie)
(395,neg_hon)
(831,neg_lie)
(1320,neg_hon)
(1893,neg_hon)
(1894,neg_lie)
(122,neg_hon)
(242,neg_hon)
(411,neg_hon)
(834,neg_hon)
